time,value
2024-11-06T15:17:11.891662927Z,86.4000015258789
2024-11-06T15:17:13.471544409Z,86.5999984741211
2024-11-06T15:17:19.483429119Z,86.69999694824219
2024-11-06T15:17:22.473565125Z,86.5
2024-11-06T15:17:25.483600353Z,86.80000305175781
2024-11-06T15:17:28.472582606Z,86.69999694824219
2024-11-06T15:17:43.475645237Z,86.5999984741211
2024-11-06T15:17:46.476696054Z,86.80000305175781
2024-11-06T15:17:49.485151744Z,86.9000015258789
2024-11-06T15:17:52.484526571Z,86.80000305175781
2024-11-06T15:17:55.480572398Z,86.69999694824219
2024-11-06T15:18:01.507761172Z,86.80000305175781
2024-11-06T15:18:04.474515688Z,87
2024-11-06T15:18:07.468801209Z,87.0999984741211
2024-11-06T15:18:10.472624416Z,87.19999694824219
2024-11-06T15:18:13.47241481Z,86.9000015258789
2024-11-06T15:18:16.517561306Z,87
2024-11-06T15:18:19.607539189Z,87.0999984741211
2024-11-06T15:18:22.54590447Z,87
2024-11-06T15:18:28.478863093Z,86.9000015258789
2024-11-06T15:18:31.538213421Z,86.80000305175781
2024-11-06T15:18:34.577310015Z,87
2024-11-06T15:18:37.467910115Z,86.9000015258789
2024-11-06T15:18:40.468518928Z,87
2024-11-06T15:18:43.598805826Z,86.69999694824219
2024-11-06T15:18:49.458488515Z,86.5
2024-11-06T15:18:55.477748403Z,86.4000015258789
2024-11-06T15:18:58.479626074Z,86.5
2024-11-06T15:19:04.473878795Z,86.4000015258789
2024-11-06T15:19:10.480001991Z,86.5
2024-11-06T15:19:16.457723859Z,86.5999984741211
2024-11-06T15:19:22.458520712Z,86.5
2024-11-06T15:19:31.51829937Z,86.4000015258789
2024-11-06T15:19:34.484151239Z,86.5
2024-11-06T15:19:37.495343247Z,86.4000015258789
2024-11-06T15:19:40.485656547Z,86.30000305175781
2024-11-06T15:19:43.472282744Z,86.5999984741211
2024-11-06T15:19:46.498654609Z,86.5
2024-11-06T15:19:49.466637664Z,86.4000015258789
2024-11-06T15:19:52.474146482Z,86.5
2024-11-06T15:19:58.523256748Z,86.5999984741211
2024-11-06T15:20:01.509869255Z,86.5
2024-11-06T15:20:04.533884639Z,86.4000015258789
2024-11-06T15:20:10.502829488Z,86.5
2024-11-06T15:20:13.553039465Z,86.5999984741211
2024-11-06T15:20:19.552743942Z,86.4000015258789
2024-11-06T15:20:44.066348903Z,86.5
2024-11-06T15:20:53.175993578Z,86.5999984741211
2024-11-06T15:20:59.169562049Z,86.4000015258789
2024-11-06T15:21:10.42954105Z,86.30000305175781
